SCHNAME,ADDRESS1,TOWN,PCODE,TELNUM,ADMPOL_PT,GEND1618,AGERANGE,TPUP1618,TALLPPE_ALEV_1618,TB3PTSE,YEAR,YEAR_SCORES,full_address,Latitude,Longitude
"City of London Academy, Highgate Hill","Holland Walk, Duncombe Road",London,N19 3EU,2072813536,OTHER NON SEL,MIXED, 11-18,54.0,46.0,46.05,2023-2024,2023-2024: 46.05,"Holland Walk, Duncombe Road, London, N19 3EU",51.567974314824,-0.129409963325
Wallington County Grammar School,Croydon Road,Wallington,SM6 7PH,2086472235,SEL,MIXED, 11-18,353.0,45.916666666666664,46.03333333333334,2023-2024,2021-2022: 47.27<br>2022-2023: 43.63<br>2023-2024: 47.20,"Croydon Road, Wallington, SM6 7PH",51.368795987856,-0.148440487752
St John's School,Epsom Road,Leatherhead,KT22 8SP,1372373000,,MIXED, 11-18,254.0,46.00666666666667,46.03333333333333,2023-2024,2021-2022: 47.94<br>2022-2023: 43.23<br>2023-2024: 46.93,"Epsom Road, Leatherhead, KT22 8SP",51.296515489286,-0.323463808672
Leicester High School for Girls,454 London Road,,LE2 2PP,1162705338,,GIRLS, 3-18,43.0,45.75,46.03,2023-2024,2021-2022: 49.17<br>2022-2023: 46.50<br>2023-2024: 42.42,"454 London Road, nan, LE2 2PP",52.608752801367,-1.097978605469
The Charter School North Dulwich,Red Post Hill,London,SE24 9JH,2073466600,OTHER NON SEL,MIXED, 11-18,361.0,45.47,46.01333333333333,2023-2024,2021-2022: 47.60<br>2022-2023: 44.82<br>2023-2024: 45.62,"Red Post Hill, London, SE24 9JH",51.456410596825,-0.089291827795
Sale Grammar School,Marsland Road,Sale,M33 3NH,1619733217,SEL,MIXED, 11-18,376.0,45.913333333333334,46.00666666666666,2023-2024,2021-2022: 48.33<br>2022-2023: 44.89<br>2023-2024: 44.80,"Marsland Road, Sale, M33 3NH",53.417605493878,-2.315941975599
Bishop Vesey's Grammar School,Lichfield Road,Sutton Coldfield,B74 2NH,1212505400,SEL,MIXED, 11-18,420.0,46.04666666666666,46.00333333333333,2023-2024,2021-2022: 47.95<br>2022-2023: 44.99<br>2023-2024: 45.07,"Lichfield Road, Sutton Coldfield, B74 2NH",52.569017593083,-1.821995080366
Bedford Modern School,Manton Lane,Bedford,MK41 7NT,1234332500,,MIXED, 7-18,291.0,45.73333333333333,45.946666666666665,2023-2024,2021-2022: 49.38<br>2022-2023: 44.03<br>2023-2024: 44.43,"Manton Lane, Bedford, MK41 7NT",52.14717584908,-0.479325290826
Abbey College Cambridge,Homerton Gardens,Cambridgeshire,CB2 8EB,1223578280,,MIXED, 12-21,351.0,45.05666666666667,45.93666666666667,2023-2024,2021-2022: 47.42<br>2022-2023: 45.88<br>2023-2024: 44.51,"Homerton Gardens, Cambridgeshire, CB2 8EB",52.18628203368,0.133633323846
Godolphin School,Milford Hill,,SP1 2RA,1722430500,,GIRLS, 3-19,87.0,45.28666666666667,45.93333333333333,2023-2024,2021-2022: 50.38<br>2022-2023: 44.19<br>2023-2024: 43.23,"Milford Hill, nan, SP1 2RA",51.06877448087,-1.785357278672
Badminton School,Westbury Road,Bristol,BS9 3BA,1179055200,,GIRLS, 3-19,126.0,45.93666666666667,45.926666666666655,2023-2024,2021-2022: 49.48<br>2022-2023: 42.50<br>2023-2024: 45.80,"Westbury Road, Bristol, BS9 3BA",51.485607405885,-2.617073917117
Chigwell School,High Road,Chigwell,IG7 6QF,2085015700,,MIXED, 4-18,178.0,45.800000000000004,45.876666666666665,2023-2024,2021-2022: 47.57<br>2022-2023: 43.92<br>2023-2024: 46.14,"High Road, Chigwell, IG7 6QF",51.62504799274,0.080986283757
St Dunstan's College,Stanstead Road,LONDON,SE6 4TY,2085167200,,MIXED, 3-18,147.0,46.693333333333335,45.723333333333336,2023-2024,2021-2022: 46.01<br>2022-2023: 44.21<br>2023-2024: 46.95,"Stanstead Road, LONDON, SE6 4TY",51.443124960518,-0.028541692828
The Judd School,Brook Street,Tonbridge,TN9 2PN,1732770880,SEL,MIXED, 11-18,545.0,45.35999999999999,45.70666666666667,2023-2024,2021-2022: 45.80<br>2022-2023: 44.99<br>2023-2024: 46.33,"Brook Street, Tonbridge, TN9 2PN",51.187714351616,0.260452824645
Notre Dame School,Burwood House,,KT11 1HA,1932869990,,GIRLS, 11-19,60.0,45.23666666666667,45.69333333333333,2023-2024,2021-2022: 49.71<br>2022-2023: 44.70<br>2023-2024: 42.67,"Burwood House, nan, KT11 1HA",51.342216386153,-0.42435262372
St Michael's Catholic Grammar School,Nether Street,London,N12 7NJ,2084462256,SEL,MIXED, 11-18,216.0,45.95333333333334,45.69333333333333,2023-2024,2021-2022: 45.51<br>2022-2023: 44.90<br>2023-2024: 46.67,"Nether Street, London, N12 7NJ",51.614315803914,-0.18075733454
"The King's School, Grantham",Brook Street,Grantham,NG31 6RP,1476563180,SEL,BOYS, 11-18,309.0,44.25333333333333,45.69,2023-2024,2021-2022: 47.30<br>2022-2023: 44.33<br>2023-2024: 45.44,"Brook Street, Grantham, NG31 6RP",52.916143740488,-0.642044311688
Ipswich School,Henley Road,Ipswich,IP1 3SG,1473408300,,MIXED, 0-18,290.0,45.129999999999995,45.68,2023-2024,2021-2022: 46.28<br>2022-2023: 44.86<br>2023-2024: 45.90,"Henley Road, Ipswich, IP1 3SG",52.064171307379,1.152035926341
Norwich School,71A The Close,Norwich,NR1 4DD,1603728430,,MIXED, 4-18,348.0,45.0,45.63666666666666,2023-2024,2021-2022: 48.93<br>2022-2023: 43.68<br>2023-2024: 44.30,"71A The Close, Norwich, NR1 4DD",52.630848005005,1.302587899156
Sutton Coldfield Grammar School for Girls,Jockey Road,Sutton Coldfield,B73 5PT,1213541479,SEL,GIRLS, 11-18,307.0,45.63,45.589999999999996,2023-2024,2021-2022: 49.08<br>2022-2023: 44.78<br>2023-2024: 42.91,"Jockey Road, Sutton Coldfield, B73 5PT",52.553517561039,-1.830276841573
Birkenhead School,58 Beresford Road,Prenton,CH43 2JD,1516524014,,MIXED, 0-19,102.0,45.60666666666666,45.586666666666666,2023-2024,2021-2022: 46.61<br>2022-2023: 43.48<br>2023-2024: 46.67,"58 Beresford Road, Prenton, CH43 2JD",53.384776889991,-3.055228517882
Collegiate School Bristol,Stapleton,,BS16 1BJ,1179655207,,MIXED, 3-18,147.0,44.5,45.49,2021-2022,2021-2022: 45.49,"Stapleton, nan, BS16 1BJ",51.48030472057,-2.555863308979
Haileybury and Imperial Service College,,Hertford,SG13 7NU,1992706200,,MIXED, 11-18,347,45.56,45.485,2022-2023,2021-2022: 47.47<br>2022-2023: 43.50,"nan, Hertford, SG13 7NU",51.779139098608,-0.03257467413
"Archbishop Holgate's School, A Church of England Academy",Hull Road,York,YO10 5ZA,1904411341,OTHER NON SEL,MIXED, 11-18,353.0,42.846666666666664,45.45333333333334,2023-2024,2021-2022: 46.67<br>2022-2023: 45.88<br>2023-2024: 43.81,"Hull Road, York, YO10 5ZA",53.952355787136,-1.041081659981
Newstead Wood School,Avebury Road,Orpington,BR6 9SA,1689853626,SEL,MIXED, 11-18,442.0,45.48666666666666,45.446666666666665,2023-2024,2021-2022: 47.50<br>2022-2023: 43.33<br>2023-2024: 45.51,"Avebury Road, Orpington, BR6 9SA",51.368247308474,0.077065564728
The Skinners' School,St John's Road,Tunbridge Wells,TN4 9PG,1892520732,SEL,BOYS, 11-18,316.0,45.416666666666664,45.43666666666667,2023-2024,2021-2022: 46.98<br>2022-2023: 43.07<br>2023-2024: 46.26,"St John's Road, Tunbridge Wells, TN4 9PG",51.142701702795,0.260081126144
